Timestamp	Category	data 1	data 2	data 3	data 4	data 5
2016-09-15 17:03:42.0066	WARN	ELAI activated.
2016-09-15 17:03:42.0126	INFO	Started connection: T01@leidig.msc, http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/
2016-09-15 17:03:44.2038	INFO	sent Pull request
2016-09-15 17:03:47.1511	INFO	sent Pull request
2016-09-15 17:03:47.5532	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:03:47.6742	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:03:49.1553	INFO	sent Pull request
2016-09-15 17:03:49.5804	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:03:52.1566	INFO	sent Pull request
2016-09-15 17:03:52.5827	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:03:55.1599	INFO	sent Pull request
2016-09-15 17:03:55.5770	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:03:58.1622	INFO	sent Pull request
2016-09-15 17:03:58.5673	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:01.1625	INFO	sent Pull request
2016-09-15 17:04:01.5766	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:04.1688	INFO	sent Pull request
2016-09-15 17:04:04.5869	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:07.1761	INFO	sent Pull request
2016-09-15 17:04:07.6252	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:10.1734	INFO	sent Pull request
2016-09-15 17:04:10.5785	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:13.1767	INFO	sent Pull request
2016-09-15 17:04:13.5758	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:16.1780	INFO	sent Pull request
2016-09-15 17:04:16.5761	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
2016-09-15 17:04:19.1803	INFO	sent Pull request
2016-09-15 17:04:19.6104	ELAI Pull	{"learnerNeedHelp":false,"learnerNeedHelp_new":false,"genreName":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/game/Seek-and-Find_Game/","skillLevel":0.5,"learnerNeedHelp_old":false,"helpingLevel":0.5}
