2016-09-15 17:11:29.6764	GAME SCENE	SeekAndFindScene_Karlsruhe
2016-09-15 17:11:29.6794	EyeTracking AOI	NULL
2016-09-15 17:11:29.6814	EyeTracking AOI	NULL
2016-09-15 17:11:29.6824	EyeTracking AOI	NULL
2016-09-15 15:11:30.0360	EyeTracking Fixation	Started	841	428	-63609549090036
2016-09-15 17:11:30.1764	EyeTracking AOI	NULL
2016-09-15 15:11:30.1520	EyeTracking Fixation	Ended	837	440	116
2016-09-15 17:11:30.2104	EyeTracking AOI	NULL
2016-09-15 15:11:30.1700	EyeTracking Fixation	Started	744	564	-63609549090170
2016-09-15 17:11:30.3114	EyeTracking AOI	NULL
2016-09-15 15:11:30.3010	EyeTracking Fixation	Ended	760	556	131
2016-09-15 17:11:30.3634	EyeTracking AOI	NULL
2016-09-15 15:11:30.4190	EyeTracking Fixation	Started	1267	354	-63609549090419
2016-09-15 17:11:30.5544	EyeTracking AOI	NULL
2016-09-15 15:11:30.5520	EyeTracking Fixation	Ended	1269	367	133
2016-09-15 17:11:30.6085	EyeTracking AOI	NULL
2016-09-15 15:11:30.6350	EyeTracking Fixation	Started	262	475	-63609549090635
2016-09-15 17:11:30.7705	EyeTracking AOI	NULL
2016-09-15 15:11:30.7670	EyeTracking Fixation	Ended	256	477	132
2016-09-15 17:11:30.8275	EyeTracking AOI	NULL
2016-09-15 15:11:30.8050	EyeTracking Fixation	Started	134	559	-63609549090805
2016-09-15 17:11:30.9595	EyeTracking AOI	NULL
2016-09-15 15:11:31.3020	EyeTracking Fixation	Ended	119	569	497
2016-09-15 17:11:31.3565	EyeTracking AOI	NULL
2016-09-15 15:11:31.4020	EyeTracking Fixation	Started	1544	309	-63609549091402
2016-09-15 17:11:31.5415	EyeTracking AOI	NULL
2016-09-15 15:11:31.5840	EyeTracking Fixation	Ended	1545	302	182
2016-09-15 17:11:31.6426	EyeTracking AOI	NULL
2016-09-15 15:11:31.6170	EyeTracking Fixation	Started	1609	85	-63609549091617
2016-09-15 17:11:31.7586	EyeTracking AOI	NULL
2016-09-15 15:11:31.9510	EyeTracking Fixation	Ended	1614	70	334
2016-09-15 17:11:32.0086	EyeTracking AOI	NULL
2016-09-15 15:11:32.0180	EyeTracking Fixation	Started	1597	960	-63609549092018
2016-09-15 17:11:32.1596	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:32.2350	EyeTracking Fixation	Ended	1602	965	217
2016-09-15 17:11:32.2986	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:32.7340	EyeTracking Fixation	Started	504	975	-63609549092734
2016-09-15 17:11:32.8767	EyeTracking AOI	NULL
2016-09-15 15:11:32.8340	EyeTracking Fixation	Ended	516	985	100
2016-09-15 17:11:32.8947	EyeTracking AOI	NULL
2016-09-15 15:11:32.8840	EyeTracking Fixation	Started	291	1163	-63609549092884
2016-09-15 17:11:33.0287	EyeTracking AOI	NULL
2016-09-15 15:11:32.9850	EyeTracking Fixation	Ended	291	1159	101
2016-09-15 17:11:33.0457	EyeTracking AOI	NULL
2016-09-15 15:11:33.0340	EyeTracking Fixation	Started	487	1117	-63609549093034
2016-09-15 17:11:33.1777	EyeTracking AOI	NULL
2016-09-15 15:11:33.1350	EyeTracking Fixation	Ended	496	1120	101
2016-09-15 17:11:33.1967	EyeTracking AOI	NULL
2016-09-15 15:11:33.3190	EyeTracking Fixation	Started	309	394	-63609549093319
2016-09-15 17:11:33.4617	EyeTracking AOI	NULL
2016-09-15 15:11:33.4340	EyeTracking Fixation	Ended	315	377	115
2016-09-15 17:11:33.4967	EyeTracking AOI	NULL
2016-09-15 15:11:33.4680	EyeTracking Fixation	Started	262	156	-63609549093468
2016-09-15 17:11:33.6118	EyeTracking AOI	NULL
2016-09-15 15:11:33.5830	EyeTracking Fixation	Ended	275	149	115
2016-09-15 17:11:33.6448	EyeTracking AOI	NULL
2016-09-15 15:11:33.6690	EyeTracking Fixation	Started	428	1119	-63609549093669
2016-09-15 17:11:33.8118	EyeTracking AOI	NULL
2016-09-15 15:11:33.8160	EyeTracking Fixation	Ended	437	1140	147
2016-09-15 17:11:33.8778	EyeTracking AOI	NULL
2016-09-15 17:11:33.9758	GAME Move	(-0.6, 0.0, 0.3)
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00630528599204064	=	0.0620308339536417	*	-0.101647609586433	(none)	2016-09-15 15:10:17.0500
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00284529090394101	=	0.0263862502638625	*	-0.107832332199085	(none)	2016-09-15 15:10:17.3360
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00312401962258398	=	0.0270806252708063	*	-0.115359951675553	(none)	2016-09-15 15:10:17.5350
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00250731811411714	=	0.0229143752291438	*	-0.109421186004155	(none)	2016-09-15 15:10:17.7520
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00337590580798015	=	0.0307839586411729	*	-0.109664447231453	(none)	2016-09-15 15:10:17.8680
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00626737386758736	=	0.0536983338703167	*	-0.116714494023656	(none)	2016-09-15 15:10:18.0190
2016-09-15 17:11:33.9758	IDEAL PATH Gaze Factor	-0.00443919478584117	=	0.0231458335647917	*	-0.191792392069813	(none)	2016-09-15 15:10:18.3340
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0133782250729242	=	0.0469751682549866	*	-0.2847935530599	(none)	2016-09-15 15:10:18.6660
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0245961531927486	=	0.0728925024646344	*	-0.337430495059242	(none)	2016-09-15 15:10:18.9020
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00216689028085777	=	0.0231404769728998	*	0.0936406921687677	(none)	2016-09-15 15:10:19.4660
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00232781473731845	=	0.0231404769728998	*	0.10059493328701	(none)	2016-09-15 15:10:19.4660
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00241224928083942	=	0.0423470728604066	*	0.0569637785542153	(none)	2016-09-15 15:10:19.5830
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00476485783993561	=	0.0499834302614636	*	0.0953287482473816	(none)	2016-09-15 15:10:19.8000
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0151012571901643	=	0.0495206207220056	*	-0.304948867158559	(none)	2016-09-15 15:10:20.1850
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.00807146755317523	=	0.0393388108539297	*	-0.205178229284705	(none)	2016-09-15 15:10:20.5490
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0099600686002923	=	0.0238346912820868	*	-0.417881166674808	(none)	2016-09-15 15:10:20.7990
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0270892682761566	=	0.0886280268062062	*	-0.305651262386671	(none)	2016-09-15 15:10:21.4150
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0082262767630158	=	0.0231404769728998	*	-0.355492964671806	(none)	2016-09-15 15:10:21.8150
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.0012175511414167	=	0.0349421202290787	*	0.0348447985821838	(none)	2016-09-15 15:10:22.1970
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00171584542990723	=	0.0381817870052847	*	0.0449388455723599	(none)	2016-09-15 15:10:22.3980
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00604568847195564	=	0.0502148350311926	*	0.120396461886217	(none)	2016-09-15 15:10:22.6300
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00296270718691562	=	0.0236032865123578	*	0.125520960200371	(none)	2016-09-15 15:10:22.8610
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00544642550571457	=	0.0460495491760706	*	0.118273155832431	(none)	2016-09-15 15:10:22.9810
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00500555462559857	=	0.0233718817426288	*	0.214169944924407	(none)	2016-09-15 15:10:23.2300
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.0125004192229526	=	0.0576197876625205	*	0.216946638126604	(none)	2016-09-15 15:10:23.3470
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.0097736296696332	=	0.0460495491760706	*	0.212241592903846	(none)	2016-09-15 15:10:23.6130
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00585973625584107	=	0.0273057628280218	*	0.214597053843436	(none)	2016-09-15 15:10:23.8450
